id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CHEF ACHATZ,0.030376442,0.03059787,0.030343413,0.03074392,0.03117454,0.030478232,0.03122064,0.030125085,0.030917991,0.030303018,0.030561272,0.030154012,0.0318257,0.030627761,0.030148543,0.029990045
CHARLIE TROTTER'S,0.06474383,0.06636952,0.06623557,0.06431705,0.065301776,0.065139145,0.06658064,0.06305276,0.06397544,0.06495265,0.066888794,0.066468924,0.067825824,0.06620598,0.06739216,0.066439465
TICKET,0.11269686,0.11592381,0.11561069,0.11760138,0.1088448,0.11130114,0.11654058,0.109756455,0.113281414,0.11488207,0.11608997,0.11552268,0.11661628,0.114625975,0.11538625,0.11428391
ATMOSPHERE,0.029798718,0.030186418,0.029839858,0.0297486,0.029363487,0.029502008,0.029951368,0.029697165,0.030095687,0.02937023,0.029470436,0.029756574,0.02950931,0.029478963,0.029518962,0.029708356
LAMB,0.039869238,0.03971421,0.040555894,0.038819578,0.040152334,0.039479505,0.040115543,0.039613586,0.039588537,0.038930178,0.039872013,0.039780334,0.03983743,0.03991273,0.04055275,0.040587403
APPLE BALLOON,0.11316257,0.1152752,0.11592069,0.11872907,0.111334994,0.11250288,0.11880401,0.110207155,0.11483252,0.11383671,0.11657497,0.1145297,0.11530298,0.116889365,0.118193954,0.1164003
WHITE CHOCOLATE DESSERT,0.08999933,0.0915191,0.092465885,0.09163026,0.08788846,0.08986154,0.09224938,0.08670475,0.088761985,0.09248026,0.09328211,0.09155521,0.094040945,0.091400094,0.09429808,0.09049825
WIFE,0.03272589,0.03268784,0.03163692,0.031999923,0.032888357,0.032146096,0.03318163,0.031785194,0.032529943,0.03246696,0.03301044,0.033499423,0.033087943,0.032339625,0.0335205,0.032644752
DINNER,0.016403038,0.016642591,0.016433392,0.015896775,0.016487949,0.016026305,0.016041432,0.015694844,0.016062839,0.01649498,0.016081754,0.016244575,0.01680288,0.016299311,0.016334709,0.016207624
VALET,0.05068068,0.04961401,0.05110982,0.05025545,0.05042193,0.050233964,0.05087904,0.049407154,0.050628226,0.05002835,0.051247366,0.051404726,0.05082239,0.05098681,0.051950246,0.051690806
COMPANY,0.011846387,0.011372893,0.011447268,0.012198051,0.011116311,0.011680294,0.011764193,0.0111937085,0.011835965,0.01227821,0.011857573,0.011520606,0.0112248985,0.01162845,0.0113565335,0.011077175
RAZOR CLAMS,0.051675607,0.053821992,0.052579373,0.052626796,0.05125381,0.05181557,0.05309942,0.051112726,0.051921032,0.052861325,0.052651264,0.052367188,0.052774534,0.051458314,0.052868847,0.05164036
CRAB,0.101953074,0.104243055,0.10174096,0.10195747,0.10146383,0.102628574,0.10464448,0.097899854,0.10112561,0.10202591,0.10289786,0.10179778,0.102997854,0.1026755,0.104526445,0.102518246
MUSHROOMS,0.009895815,0.009521128,0.009430131,0.00958016,0.008849618,0.009092161,0.009454291,0.009490155,0.009419413,0.008972603,0.008527583,0.009408,0.009335512,0.009259185,0.009319404,0.009613102
ANTIOCH,0.08197822,0.08100933,0.08185622,0.08247706,0.07961959,0.07988402,0.08300096,0.0778923,0.0801735,0.081206515,0.08278398,0.08203101,0.08178745,0.083992474,0.08432568,0.08167647
CALIFORNIA,0.08231157,0.08259714,0.08163396,0.08426008,0.08082363,0.08186338,0.0841747,0.08065018,0.08292774,0.0826223,0.08312243,0.08318366,0.08346314,0.08304849,0.08545491,0.08393374
WEDDINGS,0.027218536,0.026974073,0.02753032,0.028311772,0.025842914,0.02688376,0.028256912,0.025925469,0.026526937,0.028768525,0.028285632,0.027411493,0.028482463,0.028643016,0.027745515,0.028000534
